hub_id,hub_name,signal_innovation,signal_student_events,signal_meetups,signal_cultural,highlight_1,highlight_1_source,highlight_2,highlight_2_source,notes,source_id,access_date
hub-downtown-crossing,Downtown Crossing,strong,active,strong,strong,380 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,4 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=380, coworking=4), meetup registry (4 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-beacon-hill,Beacon Hill,moderate,active,moderate,moderate,70 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,3 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=70, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-chinatown,Chinatown,moderate,active,moderate,active,84 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=84, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-south-end,South End,active,active,active,active,82 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=82, coworking=1), meetup registry (1 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-charlestown,Charlestown,active,active,active,low,30 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=30, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-seaport,Seaport,strong,active,strong,active,111 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,3 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=111, coworking=3), meetup registry (3 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-bay-village,Bay Village,active,active,active,low,12 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=12, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-west-end,West End,active,active,active,moderate,35 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=35, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-columbia-point,Columbia Point,moderate,active,moderate,moderate,57 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,3 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=57, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-south-boston,South Boston,moderate,strong,moderate,active,If Life Were a Musical - CCCS choir singing,MIT Events iCal (engage.mit.edu),76 mapped cafes & restaurants (OSM),OpenStreetMap Overpass API,"Signals: MIT iCal (1 matches), OSM POIs (social=76, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-jamaica-plain,Jamaica Plain,active,active,active,moderate,67 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=67, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-north-end,North End,moderate,active,moderate,moderate,70 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=70, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
